,TOTAL,FFT,FMM,LU,OCEAN,RADIX,
branches executed,3473100,221496,418489,644749,731404,192797,
By Address
always taken,6587,985,1671,972,1993,966,
never taken,1940,242,509,253,672,264,
always miss,23097,2960,5788,2996,8346,3007,
never miss,9095,1235,2503,1293,2784,1280,
all others,5127,560,1319,588,2189,471,
total,45846,5982,11790,6102,15984,5988,



,FFT,,,FMM,,,LU,,,OCEAN,,,RADIX,,,
,%TAKEN,%MISS,CORR,%TAKEN,%MISS,CORR,%TAKEN,%MISS,CORR,%TAKEN,%MISS,CORR,%TAKEN,%MISS,CORR,
2BIT, 0.52, 0.32,-0.19, 0.52, 0.30,-0.22, 0.49, 0.32,-0.25, 0.75, 0.22, 0.44, 0.51, 0.34,-0.26,
2LEVEL, 0.53, 0.34,-0.12, 0.53, 0.36,-0.16, 0.50, 0.39,-0.16, 0.75, 0.27, 0.33, 0.52, 0.40,-0.11,
HYBRID, 0.52, 0.33,-0.13, 0.52, 0.31,-0.18, 0.50, 0.35,-0.14, 0.75, 0.23, 0.39, 0.52, 0.37,-0.18,
ORACLE, 0.52, 0.18,-0.33, 0.53, 0.22,-0.38, 0.49, 0.19,-0.39, 0.74, 0.13, 0.21, 0.51, 0.22,-0.41,
STATIC, 0.53, 0.38,-0.40, 0.53, 0.39,-0.43, 0.50, 0.35,-0.32, 0.75, 0.25, 0.32, 0.52, 0.38,-0.46,
TAKEN, 0.61, 0.50, 0.78, 0.67, 0.44, 0.77, 0.60, 0.52, 0.76, 0.81, 0.27, 0.84, 0.65, 0.48, 0.73,



,FFT,,,FMM,,,LU,,,OCEAN,,,RADIX,,,
,%TAKEN,%MISS,CORR50,%TAKEN,%MISS,CORR50,%TAKEN,%MISS,CORR50,%TAKEN,%MISS,CORR50,%TAKEN,%MISS,CORR50,
2BIT, 0.52, 0.32, 0.69, 0.52, 0.30, 0.77, 0.49, 0.32, 0.79, 0.75, 0.22, 0.86, 0.51, 0.34, 0.78,
2LEVEL, 0.53, 0.34, 0.48, 0.53, 0.36, 0.58, 0.50, 0.39, 0.53, 0.75, 0.27, 0.72, 0.52, 0.40, 0.52,
HYBRID, 0.52, 0.33, 0.51, 0.52, 0.31, 0.68, 0.50, 0.35, 0.63, 0.75, 0.23, 0.77, 0.52, 0.37, 0.61,
ORACLE, 0.52, 0.18, 0.68, 0.53, 0.22, 0.73, 0.49, 0.19, 0.72, 0.74, 0.13, 0.81, 0.51, 0.22, 0.71,
STATIC, 0.53, 0.38, 0.95, 0.53, 0.39, 0.95, 0.50, 0.35, 0.92, 0.75, 0.25, 0.95, 0.52, 0.38, 0.95,
TAKEN, 0.61, 0.50, 0.83, 0.67, 0.44, 0.81, 0.60, 0.52, 0.80, 0.81, 0.27, 0.91, 0.65, 0.48, 0.81,

,FFT,,,FMM,,,LU,,,OCEAN,,,RADIX,,,
,%TAKEN,%MISS,CORR80,%TAKEN,%MISS,CORR80,%TAKEN,%MISS,CORR80,%TAKEN,%MISS,CORR80,%TAKEN,%MISS,CORR80,
2BIT, 0.52, 0.32, 0.49, 0.52, 0.30, 0.62, 0.49, 0.32, 0.63, 0.75, 0.22, 0.74, 0.51, 0.34, 0.56,
2LEVEL, 0.53, 0.34, 0.31, 0.53, 0.36, 0.37, 0.50, 0.39, 0.33, 0.75, 0.27, 0.38, 0.52, 0.40, 0.30,
HYBRID, 0.52, 0.33, 0.34, 0.52, 0.31, 0.45, 0.50, 0.35, 0.37, 0.75, 0.23, 0.56, 0.52, 0.37, 0.37,
ORACLE, 0.52, 0.18, 0.50, 0.53, 0.22, 0.65, 0.49, 0.19, 0.55, 0.74, 0.13, 0.39, 0.51, 0.22, 0.56,
STATIC, 0.53, 0.38, 0.91, 0.53, 0.39, 0.91, 0.50, 0.35, 0.86, 0.75, 0.25, 0.92, 0.52, 0.38, 0.89,
TAKEN, 0.61, 0.50, 0.68, 0.67, 0.44, 0.61, 0.60, 0.52, 0.51, 0.81, 0.27, 0.81, 0.65, 0.48, 0.47,

,FFT,,,FMM,,,LU,,,OCEAN,,,RADIX,,,
,%TAKEN,%MISS,CORR90,%TAKEN,%MISS,CORR90,%TAKEN,%MISS,CORR90,%TAKEN,%MISS,CORR90,%TAKEN,%MISS,CORR90,
2BIT, 0.52, 0.32, 0.41, 0.52, 0.30, 0.52, 0.49, 0.32, 0.54, 0.75, 0.22, 0.37, 0.51, 0.34, 0.49,
2LEVEL, 0.53, 0.34, 0.25, 0.53, 0.36, 0.24, 0.50, 0.39, 0.24, 0.75, 0.27, 0.08, 0.52, 0.40, 0.29,
HYBRID, 0.52, 0.33, 0.29, 0.52, 0.31, 0.36, 0.50, 0.35, 0.31, 0.75, 0.23, 0.27, 0.52, 0.37, 0.33,
ORACLE, 0.52, 0.18, 0.41, 0.53, 0.22, 0.56, 0.49, 0.19, 0.42, 0.74, 0.13, 0.19, 0.51, 0.22, 0.54,
STATIC, 0.53, 0.38, 0.86, 0.53, 0.39, 0.86, 0.50, 0.35, 0.80, 0.75, 0.25, 0.55, 0.52, 0.38, 0.85,
TAKEN, 0.61, 0.50, 0.49, 0.67, 0.44, 0.44, 0.60, 0.52, 0.37, 0.81, 0.27, 0.36, 0.65, 0.48, 0.34,

,FFT,,,FMM,,,LU,,,OCEAN,,,RADIX,,,
,%TAKEN,%MISS,CORR95,%TAKEN,%MISS,CORR95,%TAKEN,%MISS,CORR95,%TAKEN,%MISS,CORR95,%TAKEN,%MISS,CORR95,
2BIT, 0.52, 0.32, 0.36, 0.52, 0.30, 0.46, 0.49, 0.32, 0.52, 0.75, 0.22, 0.24, 0.51, 0.34, 0.49,
2LEVEL, 0.53, 0.34, 0.14, 0.53, 0.36, 0.19, 0.50, 0.39, 0.24, 0.75, 0.27, 0.07, 0.52, 0.40, 0.29,
HYBRID, 0.52, 0.33, 0.23, 0.52, 0.31, 0.32, 0.50, 0.35, 0.30, 0.75, 0.23, 0.19, 0.52, 0.37, 0.33,
ORACLE, 0.52, 0.18, 0.33, 0.53, 0.22, 0.47, 0.49, 0.19, 0.40, 0.74, 0.13, 0.19, 0.51, 0.22, 0.53,
STATIC, 0.53, 0.38, 0.81, 0.53, 0.39, 0.84, 0.50, 0.35, 0.79, 0.75, 0.25, 0.43, 0.52, 0.38, 0.85,
TAKEN, 0.61, 0.50, 0.37, 0.67, 0.44, 0.36, 0.60, 0.52, 0.30, 0.81, 0.27, 0.20, 0.65, 0.48, 0.28,

